"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2022","54.800","53.800","55.000","53.800","83.51K","-0.36%"
"10/07/2022","55.000","54.500","55.000","53.650","49.01K","2.52%"
"10/06/2022","53.650","55.400","55.400","53.650","233.26K","-3.33%"
"10/05/2022","55.500","55.500","56.450","54.600","373.36K","1.83%"
"10/04/2022","54.500","54.550","55.500","54.400","717.19K","0.09%"
"10/03/2022","54.450","54.700","54.750","53.800","184.31K","-0.46%"
"09/30/2022","54.700","52.650","54.750","52.650","68.39K","0.00%"
"09/29/2022","54.700","53.100","54.800","53.100","64.19K","3.89%"
"09/28/2022","52.650","52.900","54.950","52.200","565.62K","-0.47%"
"09/27/2022","52.900","56.950","56.950","51.850","1.36M","-7.11%"
"09/23/2022","56.950","57.400","57.850","56.600","233.62K","-0.78%"
"09/22/2022","57.400","59.250","59.250","56.000","98.40K","-3.53%"
"09/21/2022","59.500","61.000","61.000","59.000","536.45K","-2.46%"
"09/20/2022","61.000","61.500","61.500","60.350","219.04K","0.00%"
"09/19/2022","61.000","62.000","62.000","59.350","107.50K","-1.61%"
"09/16/2022","62.000","60.500","62.000","59.200","133.19K","2.48%"
"09/15/2022","60.500","59.350","60.500","59.350","18.47K","1.94%"
"09/14/2022","59.350","61.000","61.000","59.000","155.09K","-2.70%"
"09/13/2022","61.000","60.050","61.200","60.050","599.71K","1.67%"
"09/12/2022","60.000","59.200","61.500","59.000","273.99K","1.35%"
"09/09/2022","59.200","59.600","59.600","59.000","23.26K","-1.09%"
"09/08/2022","59.850","59.150","60.000","59.000","105.11K","0.08%"
"09/07/2022","59.800","60.000","60.000","59.150","224.70K","-0.08%"
"09/06/2022","59.850","60.000","60.000","59.050","24.58K","-0.25%"
"09/05/2022","60.000","60.150","60.150","59.400","35.26K","0.17%"
"09/02/2022","59.900","60.000","60.000","59.200","47.30K","-0.17%"
"09/01/2022","60.000","60.150","60.150","59.500","159.64K","0.00%"
"08/31/2022","60.000","59.700","60.250","59.400","652.87K","1.35%"
"08/30/2022","59.200","60.250","60.300","59.000","126.18K","-2.95%"
"08/26/2022","61.000","61.500","61.500","60.000","30.09K","-0.81%"
"08/25/2022","61.500","61.000","61.850","61.000","186.24K","0.82%"
"08/24/2022","61.000","60.900","61.450","60.650","917.22K","0.08%"
"08/23/2022","60.950","59.150","61.250","59.150","146.02K","-0.08%"
"08/22/2022","61.000","60.500","61.500","60.000","555.28K","0.83%"
"08/19/2022","60.500","61.800","61.800","59.000","589.43K","-2.42%"
"08/18/2022","62.000","62.300","62.300","61.100","349.82K","-0.08%"
"08/17/2022","62.050","61.450","62.850","61.050","770.14K","0.98%"
"08/16/2022","61.450","61.000","61.500","61.000","109.45K","1.07%"
"08/15/2022","60.800","61.000","61.650","60.750","222.77K","-1.38%"
"08/12/2022","61.650","61.600","61.700","61.500","663.68K","-0.08%"
"08/11/2022","61.700","59.600","61.850","59.600","620.79K","3.52%"
"08/10/2022","59.600","59.250","60.000","58.550","290.50K","0.59%"
"08/09/2022","59.250","59.850","59.900","58.750","95.36K","-1.00%"
"08/08/2022","59.850","60.950","61.000","59.050","416.06K","-1.89%"
"08/05/2022","61.000","59.900","61.050","59.900","995.11K","2.18%"
"08/04/2022","59.700","57.950","60.200","57.950","691.06K","3.29%"
"08/03/2022","57.800","57.000","58.000","56.950","348.08K","1.23%"
"08/02/2022","57.100","56.800","57.100","56.650","546.34K","0.79%"
"08/01/2022","56.650","55.650","57.000","55.650","83.50K","2.16%"
"07/29/2022","55.450","55.450","55.700","55.100","321.42K","0.00%"
"07/28/2022","55.450","55.000","55.450","54.800","73.40K","0.64%"
"07/27/2022","55.100","55.000","55.450","54.800","274.18K","1.01%"
"07/26/2022","54.550","54.700","55.000","54.450","180.88K","1.02%"
"07/25/2022","54.000","54.500","54.500","53.850","123.72K","-0.92%"
"07/22/2022","54.500","57.200","57.350","54.500","489.79K","-4.72%"
"07/21/2022","57.200","56.750","57.500","56.750","712.84K","0.79%"
"07/20/2022","56.750","54.800","57.100","54.800","903.70K","3.75%"
"07/19/2022","54.700","52.300","55.900","52.300","311.85K","3.99%"
"07/18/2022","52.600","53.500","53.500","52.000","137.23K","-1.13%"
"07/15/2022","53.200","53.950","53.950","52.700","66.38K","-1.39%"
"07/14/2022","53.950","53.000","53.950","52.400","900.34K","1.79%"
"07/13/2022","53.000","53.500","53.500","52.500","859.43K","-0.66%"
"07/12/2022","53.350","53.500","53.500","53.100","735.13K","0.00%"
"07/11/2022","53.350","53.350","53.400","52.900","246.10K","0.28%"
"07/08/2022","53.200","52.400","53.950","52.400","370.81K","1.53%"
"07/07/2022","52.400","52.000","52.500","52.000","873.94K","1.06%"
"07/06/2022","51.850","51.350","52.450","51.150","191.74K","1.37%"
"07/05/2022","51.150","50.150","51.350","50.150","1.64M","2.30%"
"07/04/2022","50.000","50.150","50.150","49.500","160.66K","-0.10%"
"07/01/2022","50.050","50.400","50.400","49.500","14.75K","-0.69%"
"06/30/2022","50.400","50.150","50.700","50.150","327.88K","0.50%"
"06/29/2022","50.150","49.200","50.300","49.200","58.54K","-0.50%"
"06/28/2022","50.400","51.250","51.250","48.400","3.14M","-1.95%"
"06/27/2022","51.400","46.500","51.400","46.500","316.40K","11.02%"
"06/24/2022","46.300","46.000","46.700","45.950","122.10K","0.65%"
"06/23/2022","46.000","47.000","47.150","46.000","152.10K","-2.13%"
"06/22/2022","47.000","47.000","47.200","46.200","78.90K","0.00%"
"06/21/2022","47.000","46.250","47.350","46.200","440.20K","1.40%"
"06/20/2022","46.350","46.500","46.500","46.250","387.70K","0.00%"
"06/17/2022","46.350","49.650","49.950","46.350","1.33M","-6.65%"
"06/16/2022","49.650","49.700","49.800","49.500","425.50K","0.10%"
"06/15/2022","49.600","49.800","49.950","49.350","53.70K","0.20%"
"06/14/2022","49.500","49.000","49.950","48.500","320.20K","-0.90%"
"06/13/2022","49.950","50.700","50.700","49.900","628.03K","-0.79%"
"06/10/2022","50.350","51.000","51.500","50.050","479.37K","0.60%"
"06/09/2022","50.050","50.600","51.700","50.050","1.76M","-1.09%"
"06/08/2022","50.600","50.900","51.000","50.500","3.62M","-0.59%"
"06/07/2022","50.900","52.450","52.450","50.100","2.29M","-2.96%"
"06/06/2022","52.450","53.000","53.300","52.050","155.09K","-1.04%"
"06/03/2022","53.000","53.650","53.750","53.000","355.45K","-1.49%"
"06/02/2022","53.800","53.200","53.850","52.200","291.38K","1.13%"
"06/01/2022","53.200","53.400","53.500","52.050","312.37K","0.00%"
"05/31/2022","53.200","52.500","53.800","51.750","336.57K","2.60%"
"05/30/2022","51.850","52.700","52.700","51.700","882.44K","-0.67%"
"05/27/2022","52.200","52.100","52.300","51.850","449.30K","0.19%"
"05/26/2022","52.100","52.650","52.650","51.800","83.57K","0.58%"
"05/25/2022","51.800","52.300","52.300","51.550","328.89K","-0.96%"
"05/24/2022","52.300","52.600","52.600","51.700","400.36K","1.16%"
"05/23/2022","51.700","52.650","52.650","51.550","160.23K","-0.58%"
"05/20/2022","52.000","51.550","52.950","51.500","775.21K","0.39%"
"05/19/2022","51.800","52.650","52.650","51.500","378.81K","-0.58%"
"05/18/2022","52.100","53.000","53.600","52.050","579.95K","-1.23%"
"05/17/2022","52.750","53.500","53.500","52.050","288.87K","-3.12%"
"05/16/2022","54.450","53.500","54.900","53.500","150.30K","2.74%"
"05/13/2022","53.000","53.800","53.800","52.700","200.83K","0.00%"
"05/12/2022","53.000","53.800","53.800","52.650","379.61K","-0.38%"
"05/11/2022","53.200","52.850","54.500","52.850","414.61K","1.04%"
"05/10/2022","52.650","53.000","53.000","51.000","567.24K","-1.59%"
"05/06/2022","53.500","54.000","54.000","53.000","186.11K","-1.02%"
"05/05/2022","54.050","53.150","55.000","53.150","554.54K","1.69%"
"05/04/2022","53.150","53.250","53.300","53.000","58.48K","-0.19%"
"05/02/2022","53.250","53.500","53.500","53.000","49.72K","-0.47%"
"04/29/2022","53.500","54.700","55.100","53.500","462.85K","-2.19%"
